uid,timestamp,item_id,is_organic,played_ratio_pct,track_length_seconds,event_type
1,20955160,821534,1,0.0,165.0,listen
1,20955585,3506815,1,27.0,150.0,listen
1,20955725,798711,1,31.0,125.0,listen
1,20955835,5302349,1,97.0,110.0,listen
1,20955985,6317616,1,100.0,145.0,listen
1,20956215,5737658,1,100.0,230.0,listen
1,20956375,6214610,1,100.0,160.0,listen
1,20956505,4453583,1,100.0,130.0,listen
1,20956630,4085526,1,100.0,125.0,listen
1,20956795,7930506,1,100.0,160.0,listen
1,20956960,821534,1,100.0,165.0,listen
1,20957100,9108890,1,100.0,135.0,listen
1,20957290,769356,1,100.0,155.0,listen
1,20957450,4966414,1,100.0,155.0,listen
1,20957675,8317991,1,100.0,225.0,listen
1,20957845,3300564,1,100.0,155.0,listen
1,21043405,769356,1,100.0,155.0,listen
1,21043595,4065325,1,100.0,185.0,listen
1,21043765,8848020,1,100.0,170.0,listen
1,21043880,4974017,1,100.0,115.0,listen
1,21044035,5258570,1,99.0,155.0,listen
1,21044145,768880,1,86.0,120.0,listen
1,21044230,5703979,1,50.0,175.0,listen
1,21044325,4146191,1,18.0,210.0,listen
1,21044505,7943297,1,100.0,175.0,listen
1,21044560,8055077,1,32.0,180.0,listen
1,21044685,7652807,1,48.0,250.0,listen
1,21044690,8067312,1,0.0,225.0,listen
1,21044870,2527363,1,81.0,225.0,listen
1,21044940,5258570,1,45.0,155.0,listen
1,21044960,3073636,1,22.0,65.0,listen
1,21044990,6004913,1,25.0,115.0,listen
1,21045065,8313839,1,17.0,170.0,listen
1,21045210,7447763,1,73.0,180.0,listen
1,21045340,2053410,1,98.0,135.0,listen
1,21045455,3260074,1,92.0,120.0,listen
1,21045475,6853370,1,2.0,140.0,listen
1,21045510,3791672,1,17.0,115.0,listen
1,21045515,4995862,1,5.0,115.0,listen
1,21045550,3791672,1,29.0,115.0,listen
1,21045560,4995862,1,6.0,115.0,listen
1,21045590,5028345,1,24.0,110.0,listen
1,21045595,4085526,1,5.0,125.0,listen
1,21045675,1525699,1,59.0,125.0,listen
1,21045675,769356,1,0.0,155.0,listen
1,21045715,8250655,1,31.0,125.0,listen
1,21045775,4741878,1,43.0,135.0,listen
1,21045815,4456240,1,19.0,215.0,listen
1,21045940,3360190,1,74.0,165.0,listen
1,21046050,1525699,1,36.0,125.0,listen
1,21132310,5472930,1,1.0,170.0,listen
1,21132310,6214610,1,0.0,160.0,listen
1,21132610,3161778,1,0.0,170.0,listen
1,21132610,2954984,1,75.0,165.0,listen
1,21132775,2954984,1,100.0,165.0,listen
1,21132945,3161778,1,100.0,170.0,listen
1,21133080,5237217,1,100.0,135.0,listen
1,21133160,1524515,1,100.0,80.0,listen
1,21133375,5830776,1,100.0,215.0,listen
1,21133550,5472930,1,100.0,170.0,listen
1,21133680,759695,1,100.0,130.0,listen
1,21150770,6290990,1,0.0,230.0,listen
1,21150770,4267727,1,0.0,155.0,listen
1,21150770,5302349,1,2.0,110.0,listen
1,21150775,7981684,1,0.0,205.0,listen
1,21150775,4456240,1,0.0,215.0,listen
1,21150775,5302349,1,0.0,110.0,listen
1,21150980,1769520,1,100.0,205.0,listen
1,21151205,2527363,1,100.0,225.0,listen
1,21151385,7742721,1,100.0,175.0,listen
1,21151525,6317616,1,93.0,145.0,listen
1,21151675,4834107,1,100.0,155.0,listen
1,21151905,5737658,1,100.0,230.0,listen
1,21202115,7981684,1,0.0,205.0,listen
1,21202240,1525699,1,100.0,125.0,listen
1,21202405,2169451,1,100.0,165.0,listen
1,21202540,2053410,1,100.0,135.0,listen
1,21202685,1601083,1,100.0,145.0,listen
1,21202820,5237217,1,100.0,135.0,listen
1,21202990,3161778,1,100.0,170.0,listen
1,21207335,8478026,1,0.0,130.0,listen
1,21207515,1769520,1,86.0,205.0,listen
1,21207610,4741283,1,78.0,120.0,listen
1,21207660,5258570,1,32.0,155.0,listen
1,21207890,7652807,1,92.0,250.0,listen
1,21208080,2527363,1,85.0,225.0,listen
1,21208270,1070277,1,100.0,190.0,listen
1,21208470,4901926,1,95.0,210.0,listen
1,21208685,5830776,1,100.0,215.0,listen
1,21208905,585444,1,100.0,205.0,listen
1,21208915,4041884,1,3.0,240.0,listen
1,21209175,3201031,1,99.0,265.0,listen
1,21209390,9196342,1,96.0,220.0,listen
1,21209395,8876179,1,3.0,110.0,listen
1,21209395,7073621,1,0.0,105.0,listen
1,21209395,3368412,1,1.0,130.0,listen
1,21209400,2776383,1,0.0,180.0,listen
1,21209400,1601083,1,0.0,145.0,listen
1,21209400,877938,1,0.0,155.0,listen
1,21209400,7275827,1,0.0,195.0,listen
1,21209440,877938,1,25.0,155.0,listen
1,21209445,7275827,1,0.0,195.0,listen
1,21209520,4345919,1,63.0,115.0,listen
1,21209595,2361561,1,48.0,155.0,listen
1,21209600,7742721,1,0.0,175.0,listen
1,21209600,120698,1,0.0,170.0,listen
1,21209600,2954984,1,0.0,165.0,listen
1,21209600,4267727,1,0.0,155.0,listen
1,21209620,8250655,1,16.0,125.0,listen
1,21209670,2361561,1,2.0,155.0,listen
1,21209670,4741878,1,32.0,135.0,listen
1,21209670,3801344,1,0.0,155.0,listen
1,21209675,1524515,1,0.0,80.0,listen
1,21209760,7447763,1,46.0,180.0,listen
1,21209765,4741283,1,5.0,120.0,listen
1,21209880,486415,1,46.0,240.0,listen
1,21209880,769356,1,1.0,155.0,listen
1,21209880,8478026,1,0.0,130.0,listen
1,21209885,2584240,1,0.0,165.0,listen
1,21209885,3072321,1,0.0,240.0,listen
1,21209885,759695,1,0.0,130.0,listen
1,21209950,754959,1,36.0,165.0,listen
1,21209950,2053410,1,1.0,135.0,listen
1,21209955,4456240,1,0.0,215.0,listen
1,21209955,1525699,1,0.0,125.0,listen
1,21210060,1525699,1,84.0,125.0,listen
1,21210065,4456240,1,0.0,215.0,listen
1,21212895,3360190,1,0.0,165.0,listen
1,21212900,5955758,1,0.0,135.0,listen
1,21292090,5955758,1,0.0,135.0,listen
1,21292255,6214610,1,100.0,160.0,listen
1,21292420,821534,1,100.0,165.0,listen
1,21292555,9108890,1,100.0,135.0,listen
1,21292780,8317991,1,100.0,225.0,listen
1,21292985,7981684,1,100.0,205.0,listen
1,21293145,3801344,1,100.0,155.0,listen
1,21293320,979205,1,100.0,175.0,listen
1,21293495,7943297,1,100.0,175.0,listen
1,21293690,8540001,1,100.0,195.0,listen
1,21293845,1578713,1,100.0,155.0,listen
1,21294080,6290990,1,100.0,230.0,listen
1,21294250,5472930,1,100.0,170.0,listen
